job_title,skills,description,experience,location
Lab Technician,Lab Skills;Testing,Assist lab operations,1-4 years,Hyderabad
Research Assistant,Data Collection;Analysis,Support research,1-3 years,Delhi
Professor,Teaching;Research,Educate students,5-12 years,Bangalore
School Principal,Leadership;Administration,Manage school,8-15 years,Mumbai
Software Engineer,Python;SQL,Develop and maintain systems,0-2 years,Bangalore
Data Analyst,Excel;Power BI,Analyze business data,1-3 years,Hyderabad
Web Developer,HTML;CSS;JS,Build web applications,2-4 years,Chennai
Project Manager,Agile;Scrum,Manage teams and projects,3-5 years,Mumbai
HR Executive,Recruitment;Onboarding,Handle HR processes,5-8 years,Delhi
Marketing Manager,SEO;Marketing,Plan marketing campaigns,0-2 years,Pune
Accountant,Tally;GST,Manage accounts,1-3 years,Kolkata
Graphic Designer,Photoshop;Illustrator,Design visuals,2-4 years,Remote
Mechanical Engineer,AutoCAD;SolidWorks,Design mechanical systems,3-5 years,Bangalore
Civil Engineer,Site Management,Supervise construction,5-8 years,Hyderabad
Electrical Engineer,Circuit Design;MATLAB,Design circuits,0-2 years,Chennai
Business Analyst,SQL;Documentation,Analyze requirements,1-3 years,Mumbai
Content Writer,SEO Writing;Research,Write content,2-4 years,Delhi
UI/UX Designer,Figma;Prototyping,Design UI,3-5 years,Pune
DevOps Engineer,AWS;Docker,Manage deployments,5-8 years,Kolkata
Data Scientist,ML;Statistics,Build models,0-2 years,Remote
Sales Executive,Communication;Sales,Drive sales,1-3 years,Bangalore
Customer Support,CRM;Support,Support customers,2-4 years,Hyderabad
Network Engineer,Cisco;Networking,Maintain networks,3-5 years,Chennai
QA Engineer,Testing;Selenium,Test software,5-8 years,Mumbai
Software Engineer,Python;SQL,Develop and maintain systems,0-2 years,Delhi
Data Analyst,Excel;Power BI,Analyze business data,1-3 years,Pune
Web Developer,HTML;CSS;JS,Build web applications,2-4 years,Kolkata
Project Manager,Agile;Scrum,Manage teams and projects,3-5 years,Remote
HR Executive,Recruitment;Onboarding,Handle HR processes,5-8 years,Bangalore
Marketing Manager,SEO;Marketing,Plan marketing campaigns,0-2 years,Hyderabad
Accountant,Tally;GST,Manage accounts,1-3 years,Chennai
Graphic Designer,Photoshop;Illustrator,Design visuals,2-4 years,Mumbai
Mechanical Engineer,AutoCAD;SolidWorks,Design mechanical systems,3-5 years,Delhi
Civil Engineer,Site Management,Supervise construction,5-8 years,Pune
Electrical Engineer,Circuit Design;MATLAB,Design circuits,0-2 years,Kolkata
Business Analyst,SQL;Documentation,Analyze requirements,1-3 years,Remote
Content Writer,SEO Writing;Research,Write content,2-4 years,Bangalore
UI/UX Designer,Figma;Prototyping,Design UI,3-5 years,Hyderabad
DevOps Engineer,AWS;Docker,Manage deployments,5-8 years,Chennai
Data Scientist,ML;Statistics,Build models,0-2 years,Mumbai
Sales Executive,Communication;Sales,Drive sales,1-3 years,Delhi
Customer Support,CRM;Support,Support customers,2-4 years,Pune
Network Engineer,Cisco;Networking,Maintain networks,3-5 years,Kolkata
QA Engineer,Testing;Selenium,Test software,5-8 years,Remote
Software Engineer,Python;SQL,Develop and maintain systems,0-2 years,Bangalore
Data Analyst,Excel;Power BI,Analyze business data,1-3 years,Hyderabad
Web Developer,HTML;CSS;JS,Build web applications,2-4 years,Chennai
Project Manager,Agile;Scrum,Manage teams and projects,3-5 years,Mumbai
HR Executive,Recruitment;Onboarding,Handle HR processes,5-8 years,Delhi
Marketing Manager,SEO;Marketing,Plan marketing campaigns,0-2 years,Pune
Accountant,Tally;GST,Manage accounts,1-3 years,Kolkata
Graphic Designer,Photoshop;Illustrator,Design visuals,2-4 years,Remote
Mechanical Engineer,AutoCAD;SolidWorks,Design mechanical systems,3-5 years,Bangalore
Civil Engineer,Site Management,Supervise construction,5-8 years,Hyderabad
Electrical Engineer,Circuit Design;MATLAB,Design circuits,0-2 years,Chennai
Business Analyst,SQL;Documentation,Analyze requirements,1-3 years,Mumbai
Content Writer,SEO Writing;Research,Write content,2-4 years,Delhi
UI/UX Designer,Figma;Prototyping,Design UI,3-5 years,Pune
DevOps Engineer,AWS;Docker,Manage deployments,5-8 years,Kolkata
Data Scientist,ML;Statistics,Build models,0-2 years,Remote
Sales Executive,Communication;Sales,Drive sales,1-3 years,Bangalore
Customer Support,CRM;Support,Support customers,2-4 years,Hyderabad
Network Engineer,Cisco;Networking,Maintain networks,3-5 years,Chennai
QA Engineer,Testing;Selenium,Test software,5-8 years,Mumbai
Software Engineer,Python;SQL,Develop and maintain systems,0-2 years,Delhi
Data Analyst,Excel;Power BI,Analyze business data,1-3 years,Pune
Web Developer,HTML;CSS;JS,Build web applications,2-4 years,Kolkata
Project Manager,Agile;Scrum,Manage teams and projects,3-5 years,Remote
HR Executive,Recruitment;Onboarding,Handle HR processes,5-8 years,Bangalore
Marketing Manager,SEO;Marketing,Plan marketing campaigns,0-2 years,Hyderabad
Accountant,Tally;GST,Manage accounts,1-3 years,Chennai
Graphic Designer,Photoshop;Illustrator,Design visuals,2-4 years,Mumbai
Mechanical Engineer,AutoCAD;SolidWorks,Design mechanical systems,3-5 years,Delhi
Civil Engineer,Site Management,Supervise construction,5-8 years,Pune
Electrical Engineer,Circuit Design;MATLAB,Design circuits,0-2 years,Kolkata
Business Analyst,SQL;Documentation,Analyze requirements,1-3 years,Remote
Content Writer,SEO Writing;Research,Write content,2-4 years,Bangalore
UI/UX Designer,Figma;Prototyping,Design UI,3-5 years,Hyderabad
DevOps Engineer,AWS;Docker,Manage deployments,5-8 years,Chennai
Data Scientist,ML;Statistics,Build models,0-2 years,Mumbai
Sales Executive,Communication;Sales,Drive sales,1-3 years,Delhi
Customer Support,CRM;Support,Support customers,2-4 years,Pune
Network Engineer,Cisco;Networking,Maintain networks,3-5 years,Kolkata
QA Engineer,Testing;Selenium,Test software,5-8 years,Remote
Software Engineer,Python;SQL,Develop and maintain systems,0-2 years,Bangalore
Data Analyst,Excel;Power BI,Analyze business data,1-3 years,Hyderabad
Web Developer,HTML;CSS;JS,Build web applications,2-4 years,Chennai
Project Manager,Agile;Scrum,Manage teams and projects,3-5 years,Mumbai
HR Executive,Recruitment;Onboarding,Handle HR processes,5-8 years,Delhi
Marketing Manager,SEO;Marketing,Plan marketing campaigns,0-2 years,Pune
Accountant,Tally;GST,Manage accounts,1-3 years,Kolkata
Graphic Designer,Photoshop;Illustrator,Design visuals,2-4 years,Remote
Mechanical Engineer,AutoCAD;SolidWorks,Design mechanical systems,3-5 years,Bangalore
Civil Engineer,Site Management,Supervise construction,5-8 years,Hyderabad
Electrical Engineer,Circuit Design;MATLAB,Design circuits,0-2 years,Chennai
Business Analyst,SQL;Documentation,Analyze requirements,1-3 years,Mumbai
Content Writer,SEO Writing;Research,Write content,2-4 years,Delhi
UI/UX Designer,Figma;Prototyping,Design UI,3-5 years,Pune
DevOps Engineer,AWS;Docker,Manage deployments,5-8 years,Kolkata
Data Scientist,ML;Statistics,Build models,0-2 years,Remote
Sales Executive,Communication;Sales,Drive sales,1-3 years,Bangalore
Customer Support,CRM;Support,Support customers,2-4 years,Hyderabad
Network Engineer,Cisco;Networking,Maintain networks,3-5 years,Chennai
QA Engineer,Testing;Selenium,Test software,5-8 years,Mumbai
Software Engineer,Python;SQL,Develop and maintain systems,0-2 years,Delhi
Data Analyst,Excel;Power BI,Analyze business data,1-3 years,Pune
Web Developer,HTML;CSS;JS,Build web applications,2-4 years,Kolkata
Project Manager,Agile;Scrum,Manage teams and projects,3-5 years,Remote
HR Executive,Recruitment;Onboarding,Handle HR processes,5-8 years,Bangalore
Marketing Manager,SEO;Marketing,Plan marketing campaigns,0-2 years,Hyderabad
Accountant,Tally;GST,Manage accounts,1-3 years,Chennai
Graphic Designer,Photoshop;Illustrator,Design visuals,2-4 years,Mumbai
Mechanical Engineer,AutoCAD;SolidWorks,Design mechanical systems,3-5 years,Delhi
Civil Engineer,Site Management,Supervise construction,5-8 years,Pune
Electrical Engineer,Circuit Design;MATLAB,Design circuits,0-2 years,Kolkata
Business Analyst,SQL;Documentation,Analyze requirements,1-3 years,Remote
Content Writer,SEO Writing;Research,Write content,2-4 years,Bangalore
UI/UX Designer,Figma;Prototyping,Design UI,3-5 years,Hyderabad
DevOps Engineer,AWS;Docker,Manage deployments,5-8 years,Chennai
Data Scientist,ML;Statistics,Build models,0-2 years,Mumbai
Sales Executive,Communication;Sales,Drive sales,1-3 years,Delhi
Customer Support,CRM;Support,Support customers,2-4 years,Pune
Network Engineer,Cisco;Networking,Maintain networks,3-5 years,Kolkata
QA Engineer,Testing;Selenium,Test software,5-8 years,Remote
Software Engineer,Python;SQL,Develop and maintain systems,0-2 years,Bangalore
Data Analyst,Excel;Power BI,Analyze business data,1-3 years,Hyderabad
Web Developer,HTML;CSS;JS,Build web applications,2-4 years,Chennai
Project Manager,Agile;Scrum,Manage teams and projects,3-5 years,Mumbai
HR Executive,Recruitment;Onboarding,Handle HR processes,5-8 years,Delhi
Marketing Manager,SEO;Marketing,Plan marketing campaigns,0-2 years,Pune
Accountant,Tally;GST,Manage accounts,1-3 years,Kolkata
Graphic Designer,Photoshop;Illustrator,Design visuals,2-4 years,Remote
Mechanical Engineer,AutoCAD;SolidWorks,Design mechanical systems,3-5 years,Bangalore
Civil Engineer,Site Management,Supervise construction,5-8 years,Hyderabad
Electrical Engineer,Circuit Design;MATLAB,Design circuits,0-2 years,Chennai
Business Analyst,SQL;Documentation,Analyze requirements,1-3 years,Mumbai
Content Writer,SEO Writing;Research,Write content,2-4 years,Delhi
UI/UX Designer,Figma;Prototyping,Design UI,3-5 years,Pune
DevOps Engineer,AWS;Docker,Manage deployments,5-8 years,Kolkata
Data Scientist,ML;Statistics,Build models,0-2 years,Remote
Sales Executive,Communication;Sales,Drive sales,1-3 years,Bangalore
Customer Support,CRM;Support,Support customers,2-4 years,Hyderabad
Network Engineer,Cisco;Networking,Maintain networks,3-5 years,Chennai
QA Engineer,Testing;Selenium,Test software,5-8 years,Mumbai
Software Engineer,Python;SQL,Develop and maintain systems,0-2 years,Delhi
Data Analyst,Excel;Power BI,Analyze business data,1-3 years,Pune
Web Developer,HTML;CSS;JS,Build web applications,2-4 years,Kolkata
Project Manager,Agile;Scrum,Manage teams and projects,3-5 years,Remote
HR Executive,Recruitment;Onboarding,Handle HR processes,5-8 years,Bangalore
Marketing Manager,SEO;Marketing,Plan marketing campaigns,0-2 years,Hyderabad
Accountant,Tally;GST,Manage accounts,1-3 years,Chennai
Graphic Designer,Photoshop;Illustrator,Design visuals,2-4 years,Mumbai
Mechanical Engineer,AutoCAD;SolidWorks,Design mechanical systems,3-5 years,Delhi
Civil Engineer,Site Management,Supervise construction,5-8 years,Pune
Electrical Engineer,Circuit Design;MATLAB,Design circuits,0-2 years,Kolkata
Business Analyst,SQL;Documentation,Analyze requirements,1-3 years,Remote
Content Writer,SEO Writing;Research,Write content,2-4 years,Bangalore
UI/UX Designer,Figma;Prototyping,Design UI,3-5 years,Hyderabad
DevOps Engineer,AWS;Docker,Manage deployments,5-8 years,Chennai
Data Scientist,ML;Statistics,Build models,0-2 years,Mumbai
Sales Executive,Communication;Sales,Drive sales,1-3 years,Delhi
Customer Support,CRM;Support,Support customers,2-4 years,Pune
Network Engineer,Cisco;Networking,Maintain networks,3-5 years,Kolkata
QA Engineer,Testing;Selenium,Test software,5-8 years,Remote
Software Engineer,Python;SQL,Develop and maintain systems,0-2 years,Bangalore
Data Analyst,Excel;Power BI,Analyze business data,1-3 years,Hyderabad
Web Developer,HTML;CSS;JS,Build web applications,2-4 years,Chennai
Project Manager,Agile;Scrum,Manage teams and projects,3-5 years,Mumbai
HR Executive,Recruitment;Onboarding,Handle HR processes,5-8 years,Delhi
Marketing Manager,SEO;Marketing,Plan marketing campaigns,0-2 years,Pune
Accountant,Tally;GST,Manage accounts,1-3 years,Kolkata
Graphic Designer,Photoshop;Illustrator,Design visuals,2-4 years,Remote
Mechanical Engineer,AutoCAD;SolidWorks,Design mechanical systems,3-5 years,Bangalore
Civil Engineer,Site Management,Supervise construction,5-8 years,Hyderabad
Electrical Engineer,Circuit Design;MATLAB,Design circuits,0-2 years,Chennai
Business Analyst,SQL;Documentation,Analyze requirements,1-3 years,Mumbai
Content Writer,SEO Writing;Research,Write content,2-4 years,Delhi
UI/UX Designer,Figma;Prototyping,Design UI,3-5 years,Pune
DevOps Engineer,AWS;Docker,Manage deployments,5-8 years,Kolkata
Data Scientist,ML;Statistics,Build models,0-2 years,Remote
Sales Executive,Communication;Sales,Drive sales,1-3 years,Bangalore
Customer Support,CRM;Support,Support customers,2-4 years,Hyderabad
Network Engineer,Cisco;Networking,Maintain networks,3-5 years,Chennai
QA Engineer,Testing;Selenium,Test software,5-8 years,Mumbai
Software Engineer,Python;SQL,Develop and maintain systems,0-2 years,Delhi
Data Analyst,Excel;Power BI,Analyze business data,1-3 years,Pune
Web Developer,HTML;CSS;JS,Build web applications,2-4 years,Kolkata
Project Manager,Agile;Scrum,Manage teams and projects,3-5 years,Remote
HR Executive,Recruitment;Onboarding,Handle HR processes,5-8 years,Bangalore
Marketing Manager,SEO;Marketing,Plan marketing campaigns,0-2 years,Hyderabad
Accountant,Tally;GST,Manage accounts,1-3 years,Chennai
Graphic Designer,Photoshop;Illustrator,Design visuals,2-4 years,Mumbai
Mechanical Engineer,AutoCAD;SolidWorks,Design mechanical systems,3-5 years,Delhi
Civil Engineer,Site Management,Supervise construction,5-8 years,Pune
Electrical Engineer,Circuit Design;MATLAB,Design circuits,0-2 years,Kolkata
Business Analyst,SQL;Documentation,Analyze requirements,1-3 years,Remote
Content Writer,SEO Writing;Research,Write content,2-4 years,Bangalore
UI/UX Designer,Figma;Prototyping,Design UI,3-5 years,Hyderabad
DevOps Engineer,AWS;Docker,Manage deployments,5-8 years,Chennai
Data Scientist,ML;Statistics,Build models,0-2 years,Mumbai
Sales Executive,Communication;Sales,Drive sales,1-3 years,Delhi
Customer Support,CRM;Support,Support customers,2-4 years,Pune
Network Engineer,Cisco;Networking,Maintain networks,3-5 years,Kolkata
QA Engineer,Testing;Selenium,Test software,5-8 years,Remote
